City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Isla Mujeres,MX,76.41,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
198,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
199,Takoradi,GH,78.03,overcast clouds,4.8845,-1.7554,Raybow International Hotel
200,Aswan,EG,80.87,overcast clouds,24.0934,32.907,Nuba Nile
204,Rabo De Peixe,PT,72.28,broken clouds,37.8,-25.5833,Quinta das Giestas
205,Eyl,SO,77.23,few clouds,7.9803,49.8164,Amiin Hotel
208,Hirado,JP,72.39,overcast clouds,33.3597,129.5531,Samson Hotel
211,Pontal Do Parana,BR,70.74,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
213,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
217,Boyolangu,ID,80.74,light rain,-8.1181,111.8935,Yos ega cv
218,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
219,Honiara,SB,85.59,overcast clouds,-9.4333,159.95,Heritage Park Hotel
223,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
225,San Blas,MX,78.4,clear sky,21.5167,-105.2667,Hotel Posada del Rey
229,Maumere,ID,85.73,broken clouds,-8.6199,122.2111,Sylvia Hotel
230,Bubaque,GW,82.87,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
233,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
234,Itoman,JP,77.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
237,Teknaf,BD,75.54,overcast clouds,20.8624,92.3058,Forestry Guesthouse
242,Kavaratti,IN,81.1,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
243,Sao Filipe,CV,79.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
250,Caraballeda,VE,81.37,overcast clouds,10.6112,-66.8522,Hotel 15 Letras
252,Sabang,ID,81.34,broken clouds,5.8933,95.3214,Hotel Citra
