City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Salaya,IN,22.3167,69.6,76.86,56,2,4.36,clear sky
179,Torbay,CA,47.6666,-52.7314,45.57,92,90,19.57,overcast clouds
180,Broken Hill,AU,-31.95,141.4333,76.71,13,63,9.22,broken clouds
181,Grand Gaube,MU,-20.0064,57.6608,70.38,82,0,3.0,clear sky
182,Pekan,MY,3.4836,103.3996,77.11,86,70,4.97,light rain
183,Warrington,GB,53.3925,-2.5802,50.11,89,40,5.01,scattered clouds
184,Tonekabon,IR,36.8163,50.8738,58.95,80,34,1.5,scattered clouds
185,Jinxiang,CN,27.4327,120.6062,67.03,79,100,9.06,overcast clouds
186,Narsaq,GL,60.9167,-46.05,26.82,65,27,7.31,scattered clouds
187,Taldan,RU,53.6667,124.8,26.82,44,100,2.17,overcast clouds
188,Alyangula,AU,-13.8483,136.4192,89.47,62,50,12.66,scattered clouds
189,Joshimath,IN,30.5667,79.5667,48.29,38,0,4.38,clear sky
190,Marienburg,PL,54.0359,19.0266,50.95,78,49,11.07,scattered clouds
191,Pathein,MM,16.7833,94.7333,77.74,89,100,2.57,overcast clouds
192,Chicama,PE,-7.8447,-79.1469,59.54,74,18,5.19,few clouds
193,Rawson,AR,-43.3002,-65.1023,47.5,74,33,12.46,scattered clouds
194,Isla Mujeres,MX,21.2311,-86.731,76.41,61,5,9.46,clear sky
195,Castro,BR,-24.7911,-50.0119,58.69,98,97,6.85,overcast clouds
196,Toora-Khem,RU,52.4675,96.11,28.67,92,100,0.83,overcast clouds
197,Lompoc,US,34.6391,-120.4579,66.02,76,1,8.05,clear sky
198,Kupang,ID,-10.1667,123.5833,86.58,70,20,3.44,few clouds
199,Takoradi,GH,4.8845,-1.7554,78.03,87,100,11.21,overcast clouds
200,Aswan,EG,24.0934,32.907,80.87,33,98,7.92,overcast clouds
201,Atasu,KZ,48.6814,71.6433,38.43,79,100,12.62,overcast clouds
202,Sept-Iles,CA,50.2001,-66.3821,48.72,96,90,11.99,overcast clouds
203,Leningradskiy,RU,69.3833,178.4167,-1.91,87,99,12.68,overcast clouds
204,Rabo De Peixe,PT,37.8,-25.5833,72.28,93,75,10.36,broken clouds
205,Eyl,SO,7.9803,49.8164,77.23,80,15,11.54,few clouds
206,Qaanaaq,GL,77.484,-69.3632,16.7,71,100,8.72,overcast clouds
207,Te Anau,NZ,-45.4167,167.7167,54.48,69,100,7.74,overcast clouds
208,Hirado,JP,33.3597,129.5531,72.39,51,100,9.6,overcast clouds
209,Manyana,BW,-23.4,21.7167,72.28,27,0,6.8,clear sky
210,Providencia,MX,28.7167,-111.5833,83.21,49,0,5.01,clear sky
211,Pontal Do Parana,BR,-25.6533,-48.5128,70.74,96,100,3.29,overcast clouds
212,Longyearbyen,SJ,78.2186,15.6401,31.84,80,40,20.71,scattered clouds
213,Atuona,PF,-9.8,-139.0333,78.66,73,0,17.36,clear sky
214,Kaitangata,NZ,-46.2817,169.8464,64.24,43,84,11.01,broken clouds
215,Joura,IN,26.3411,77.8115,66.42,49,0,3.85,clear sky
216,Korla,CN,41.7597,86.1469,45.05,31,8,3.83,clear sky
217,Boyolangu,ID,-8.1181,111.8935,80.74,80,100,4.99,light rain
218,Olinda,BR,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
219,Honiara,SB,-9.4333,159.95,85.59,69,94,4.45,overcast clouds
220,Tiksi,RU,71.6872,128.8694,11.88,83,100,11.36,overcast clouds
221,Merauke,ID,-8.4667,140.3333,85.41,71,46,10.69,scattered clouds
222,Dubbo,AU,-32.25,148.6167,64.53,59,100,8.05,overcast clouds
223,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,5.75,scattered clouds
224,Russell,US,32.3502,-85.1999,58.23,87,1,0.0,clear sky
225,San Blas,MX,21.5167,-105.2667,78.4,82,0,3.11,clear sky
226,Jiuquan,CN,39.7432,98.5174,41.88,36,14,3.94,few clouds
227,Lavrentiya,RU,65.5833,-171.0,13.46,78,100,10.2,overcast clouds
228,Kokkola,FI,63.8385,23.1307,47.03,90,90,8.05,overcast clouds
229,Maumere,ID,-8.6199,122.2111,85.73,66,64,2.91,broken clouds
230,Bubaque,GW,11.2833,-15.8333,82.87,75,82,10.45,broken clouds
231,Sioux Lookout,CA,50.1001,-91.917,34.18,93,90,5.75,light shower snow
232,Haines Junction,CA,60.7522,-137.5108,40.95,42,99,3.44,overcast clouds
233,Lorengau,PG,-2.0226,147.2712,81.01,85,100,11.7,overcast clouds
234,Itoman,JP,26.1247,127.6694,77.02,73,20,10.36,few clouds
235,Havoysund,NO,70.9963,24.6622,38.28,86,93,16.67,overcast clouds
236,Waipawa,NZ,-41.4122,175.5153,61.3,68,78,3.24,broken clouds
237,Teknaf,BD,20.8624,92.3058,75.54,86,93,4.34,overcast clouds
238,Barrow,US,71.2906,-156.7887,26.62,93,90,16.11,overcast clouds
239,Komsomolskiy,UZ,40.4272,71.7189,42.22,70,8,9.22,clear sky
240,Lata,PT,40.1629,-8.3327,63.05,97,100,3.76,overcast clouds
241,Sikandarpur,IN,26.05,84.05,66.83,61,0,0.58,clear sky
242,Kavaratti,IN,10.5669,72.642,81.1,79,81,6.87,broken clouds
243,Sao Filipe,CV,14.8961,-24.4956,79.39,78,99,6.46,overcast clouds
244,Guerrero Negro,MX,27.9769,-114.0611,65.16,81,1,11.83,clear sky
245,Pokhara,NP,28.2333,83.9833,59.18,76,86,3.22,overcast clouds
246,Presque Isle,US,46.6811,-68.0159,55.83,90,90,1.01,overcast clouds
247,Susehri,TR,40.1644,38.0867,48.52,86,14,4.18,few clouds
248,Vasterhaninge,SE,59.1167,18.1,47.84,90,100,8.61,overcast clouds
249,Khakhea,BW,-24.6895,23.494,70.68,22,0,8.05,clear sky
250,Caraballeda,VE,10.6112,-66.8522,81.37,76,100,9.22,overcast clouds
251,Krishnarajpet,IN,12.655,76.4883,66.87,96,99,4.72,overcast clouds
252,Sabang,ID,5.8933,95.3214,81.34,75,77,6.87,broken clouds
253,Kindu,CD,-2.95,25.95,68.65,100,100,0.49,moderate rain
254,Tuatapere,NZ,-46.1333,167.6833,55.31,70,97,10.65,overcast clouds
255,Lamego,PT,41.0974,-7.8099,53.55,95,100,4.72,light rain
256,Uthai Thani,TH,15.3833,99.55,76.26,91,99,3.83,overcast clouds
257,Porto Novo,BJ,6.4965,2.6036,75.02,87,100,9.04,overcast clouds
258,Nuevitas,CU,21.5453,-77.2644,78.24,77,100,6.51,overcast clouds
259,Hirara,JP,24.8,125.2833,79.07,65,20,8.05,few clouds
260,Prince Rupert,CA,54.3161,-130.3201,55.09,47,10,14.97,clear sky
261,Shache,CN,38.4167,77.2406,44.04,36,9,6.04,clear sky
262,Talnakh,RU,69.4865,88.3972,-13.2,98,81,4.65,broken clouds
263,Axim,GH,4.8699,-2.2405,77.7,86,100,10.4,light rain
264,Ketchikan,US,55.3422,-131.6461,46.87,76,1,0.0,clear sky
265,Aklavik,CA,68.2191,-135.0107,34.52,87,100,9.8,overcast clouds
266,Bezhetsk,RU,57.7851,36.6965,37.98,92,16,8.43,few clouds
267,Bonthe,SL,7.5264,-12.505,75.52,92,100,2.46,overcast clouds
268,Cao Bang,VN,22.6667,106.25,65.3,98,100,1.63,overcast clouds
269,Portland,US,45.5234,-122.6762,59.59,42,20,1.01,few clouds
270,Dobryatino,RU,55.5055,41.3195,38.62,86,9,8.43,clear sky
271,Batagay-Alyta,RU,67.8006,130.4114,2.97,87,100,3.83,overcast clouds
272,Qinhuangdao,CN,39.9317,119.5883,47.8,47,7,1.16,clear sky
273,Gawler,AU,-34.6,138.7333,80.26,27,0,3.56,clear sky
274,Ancud,CL,-41.8697,-73.8203,60.33,82,0,7.78,clear sky
275,Bend,US,44.0582,-121.3153,40.86,83,90,1.01,overcast clouds
276,Vicksburg,US,32.3526,-90.8779,64.9,82,1,0.0,clear sky
277,Lady Frere,ZA,-31.7031,27.2329,62.33,42,36,5.12,scattered clouds
278,Umba,RU,66.6871,34.3429,34.63,97,100,13.69,overcast clouds
279,Yoichi,JP,43.2039,140.7703,57.61,76,98,10.22,overcast clouds
280,Siva,EG,29.2041,25.5195,68.95,49,34,7.47,scattered clouds
281,Severo-Kurilsk,RU,50.6789,156.125,36.05,58,80,25.23,light rain
282,Kodiak,US,57.79,-152.4072,42.28,90,100,8.63,overcast clouds
283,Rocha,UY,-34.4833,-54.3333,61.39,99,89,4.16,overcast clouds
284,Nyurba,RU,63.2842,118.3319,16.12,85,100,6.73,overcast clouds
285,Vostok,RU,46.4856,135.8833,39.0,60,6,1.68,clear sky
286,San Angelo,US,31.4638,-100.437,71.98,44,1,3.0,clear sky
287,Mahibadhoo,MV,3.7833,72.9667,83.5,71,14,20.58,few clouds
288,Westport,US,41.1415,-73.3579,60.98,89,40,7.0,scattered clouds
289,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.48,93,2,8.86,clear sky
290,Saint-Raphael,HT,19.4333,-72.2,70.97,93,63,3.13,broken clouds
291,Pemba,MZ,-12.974,40.5178,77.7,94,20,12.66,few clouds
292,Padang,ID,-0.9492,100.3543,76.8,89,100,2.66,overcast clouds
293,Gat,IL,31.61,34.7642,79.48,40,100,7.74,overcast clouds
294,Hasaki,JP,35.7333,140.8333,63.28,73,100,5.7,overcast clouds
295,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,6.91,broken clouds
296,Manokwari,ID,-0.8667,134.0833,80.55,78,100,4.45,overcast clouds
297,Ewa Beach,US,21.3156,-158.0072,82.35,61,20,10.0,few clouds
298,Harper,LR,4.375,-7.7169,77.45,87,96,7.9,overcast clouds
299,Ilheus,BR,-14.7889,-39.0494,80.42,78,40,9.22,scattered clouds
300,Vestmannaeyjar,IS,63.4427,-20.2734,38.08,69,17,25.5,few clouds
301,Kalmunai,LK,7.4167,81.8167,79.3,88,40,6.29,scattered clouds
302,Oum Hadjer,TD,13.2954,19.6966,81.23,22,51,8.19,broken clouds
303,Kardasova Recice,CZ,49.1848,14.8532,45.66,94,0,11.12,clear sky
304,Miandrivazo,MG,-19.5167,45.4667,72.19,78,0,2.06,clear sky
305,Morant Bay,JM,17.8815,-76.4093,83.82,83,16,6.2,few clouds
306,Ostrovnoy,RU,68.0531,39.5131,33.55,88,100,16.69,overcast clouds
307,Anadyr,RU,64.75,177.4833,-5.01,76,66,15.01,broken clouds
308,Shingu,JP,33.7333,135.9833,67.19,64,47,3.91,scattered clouds
309,Vardo,NO,70.3705,31.1107,37.9,75,94,23.31,overcast clouds
310,Touros,BR,-5.1989,-35.4608,81.5,77,14,14.94,few clouds
311,Dembi Dolo,ET,8.5333,34.8,56.37,66,71,6.04,broken clouds
312,Marrakesh,MA,31.6315,-8.0083,62.67,67,18,4.61,few clouds
313,Cabo San Lucas,MX,22.8909,-109.9124,83.05,75,40,5.99,scattered clouds
314,Warrnambool,AU,-38.3833,142.4833,59.14,70,7,3.22,clear sky
315,Beyla,GN,8.6833,-8.6333,67.73,88,100,0.92,light rain
316,Vera Cruz,BR,-12.6333,-41.0333,72.86,71,32,8.9,scattered clouds
317,Sorland,NO,67.667,12.6934,48.27,89,81,22.21,broken clouds
318,Qinzhou,CN,21.95,108.6167,67.57,88,100,7.56,overcast clouds
319,Palana,RU,59.1167,159.9667,14.25,86,96,9.6,light snow
320,San Isidro,PE,-12.1167,-77.05,69.01,81,20,1.01,few clouds
321,Turukhansk,RU,65.8167,87.9833,5.25,97,95,3.4,overcast clouds
